Address,Lat,Long,PermitNo,Description,Link,Issued
40-44 Cook Street FISHERMANS BEND VIC 3207,-37.8289097,144.9183509,TP-2014-354,4 lot subdivision of approved development at PS641054,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213436,Yes
113-117 Hotham Street EAST MELBOURNE VIC 3002,-37.814297,144.9864455,TP-2015-409,Lodged in error - is a historic record MCC4222 - to be deleted,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233705,No
80-82 Gipps Street EAST MELBOURNE VIC 3002,-37.8131074,144.9868479,TP-2015-408,6 Lot Subdivision of PS737462A,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233706,No
Lonsdale Central Apartments 439-445 Lonsdale Street MELBOURNE VIC 3000,-37.8132679,144.9591145,TP-2006-1183/C,Deletion of all references to `demolition` in Condition 3 of planning permit TP-2006-1183/B.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233683,No
209 Flemington Road NORTH MELBOURNE VIC 3051,-37.79471,144.947997,TP-2015-407,Buildings and works comprising construction of a verandah and a roller door,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233685,No
2A Calwell Street KENSINGTON VIC 3031,-37.788198,144.926988,TP-2014-1155/A,Construction of a rooftop deck,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233798,No
53-75 Pelham Street CARLTON VIC 3053,-37.8030762,144.966879,TP-2015-402,Wish to install a light box to the exterior of our office.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233511,No
196-214 Kensington Road WEST MELBOURNE VIC 3003,-37.8009795,144.9157743,TP-2015-403,Buildings and works in association with the use of the land for a vehicle store,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233514,Yes
296-300 Little Lonsdale Street MELBOURNE VIC 3000,-37.811474,144.960634,TP-2009-361/B,"Amend the approved plans to improve internal layouts, removing car parking, increase the overall building height to 122.3m (RL137.5) and other minor amendments. Deletion of Condition 7 of the permit in favour of the creation of an easement. Amend permit pre-amble to reflect the above. Request for City of Melbourne to endorse amended plans.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233517,No
26 Curran Street NORTH MELBOURNE VIC 3051,-37.791999,144.943742,TP-2015-400,2 Lot Subdivision of PS740230E,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233546,No
19-21 Bourke Street MELBOURNE VIC 3000,-37.809818,144.971533,TP-2015-401,Construction and display of an electronic promotion sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=233557,Yes
189-219 Salmon Street FISHERMANS BEND VIC 3207,-37.824752,144.92047,TP-2015-280,Signage around perimeter advertising the sale of the property.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231365,No
Owen Dixon Chambers East 205 William Street MELBOURNE VIC 3000,-37.814278,144.957147,TP-2015-281,Part demolition and development of the land comprising removal of the existing street canopy and construction of a first floor terrace with associated first floor level facade works,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231372,No
152 Faraday Street CARLTON VIC 3053,-37.7986101,144.9695216,TP-2015-282,Changing paint colour of the facade of terraced house.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231376,Yes
194 George Street EAST MELBOURNE VIC 3002,-37.814807,144.983495,TP-2015-283,Demolition of existing chimney,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231377,No
314-336 Bourke Street MELBOURNE VIC 3000,-37.8135134,144.9640524,TP-2015-284,Internally illuminated sign panels and an increase in floor area.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231382,Yes
45 Hawke Street WEST MELBOURNE VIC 3003,-37.806543,144.948082,TP-2015-285,Part demolition of a rear chimney (to first floor level only). Roof to be repaired with unpainted corrugated iron. Also replacement of an existing external door/window.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231386,Yes
124 Hawke Street WEST MELBOURNE VIC 3003,-37.809093,144.944398,TP-2015-275,Alterations to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231271,No
45-63 Swanston Street MELBOURNE VIC 3000,-37.816209,144.966476,TP-2015-276,Demolition of existing sliding doors and replacement with new stackable doors,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231272,Yes
45-63 Swanston Street MELBOURNE VIC 3000,-37.816209,144.966476,TP-2015-277,Partial demolition and alterations to shopfront,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231273,Yes
114 Vale Street EAST MELBOURNE VIC 3002,-37.817983,144.988043,TP-2015-278,"Carry out development including minor demolition, alterations to dwelling and extension of crossover",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=231276,No
274 Bourke Street MELBOURNE VIC 3000,-37.8134153,144.9652712,TP-2014-778,Display of business identification signage and alterations to the facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219843,Yes
177-187 Boundary Road NORTH MELBOURNE VIC 3051,-37.7886627,144.9401107,TP-2014-774,Erection and display of high wall business indentification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219739,No
Basement 167 Franklin Street MELBOURNE VIC 3000,-37.8087412,144.9590607,TP-2014-775,Erection and display of advertising signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219743,Yes
22 Capel Street WEST MELBOURNE VIC 3003,-37.8069165,144.9548795,TP-2014-762,Partial demolition and additions and alterations to the rear of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219562,Yes
255-257 Lygon Street CARLTON VIC 3053,-37.799454,144.966842,TP-2014-764,"Buildings and works, signage and reduction in the standard car parking requirement",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219625,No
16-18 St Leonards Court SOUTH YARRA VIC 3141,-37.8295256,144.9854829,TP-2014-765,Demolition of the rear of the existing dwelling and buildings and works associated with construction of a two storey addition including basement car parking,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219626,Yes
45-63 Swanston Street MELBOURNE VIC 3000,-37.816209,144.966476,TP-2014-766,Display of two business identification signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219628,Yes
23 Owen Street CARLTON VIC 3053,-37.800756,144.973491,TP-2014-767,Partial demolition and construction of second storey addition to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219629,No
29 Robertson Street KENSINGTON VIC 3031,-37.792788,144.932862,TP-2014-768,Partial demolition and construction of alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219633,No
108-110 Little Bourke Street MELBOURNE VIC 3000,-37.811228,144.96917,TP-2014-769,Display of business identification of business identification signage to the eastern facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=219634,Yes
65-73 Mark Street NORTH MELBOURNE VIC 3051,-37.7934408,144.937066,TP-2014-191,Extension to existing mezzanine with associated reduction to car parking requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210112,Yes
462-468 Victoria Parade EAST MELBOURNE VIC 3002,-37.810032,144.987031,TP-2014-192,Partial demolition; alterations and additions to the existing building including construction and extension of existing dwellings on common property; construction of a front fence that exceeds 2 metres in height; and externally paint the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210114,Yes
33-35 Arden Street NORTH MELBOURNE VIC 3051,-37.801304,144.950528,TP-2014-193,To develop the land for a multi-dwelling residential building.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210116,Yes
298-304 Collins Street MELBOURNE VIC 3000,-37.81595,144.964262,TP-2011-310/A,To amend condition 3 to TP-2011-310 to remove the word 'demolition',http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210118,Yes
359-385 Bourke Street MELBOURNE VIC 3000,-37.814917,144.962923,TP-2014-194,Erect and display a temporary  banner sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210147,Yes
103 Barkly Street CARLTON VIC 3053,-37.799969,144.971857,TP-2014-190,Partial demolition to rear of existing dwelling and construction of alterations and additions to dwelling.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210077,Yes
14-18 Anderson Street WEST MELBOURNE VIC 3003,-37.8052329,144.9420366,TP-2014-188,45 lot subdivision of PS725842G,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210013,No
194-200 Bourke Street MELBOURNE VIC 3000,-37.81244,144.967276,TP-2014-189,Construction and display of an electronic (LED) promotion sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210058,Yes
55-63 Jeffcott Street WEST MELBOURNE VIC 3003,-37.812196,144.951797,TP-2014-187,82 lot subdivision of PS643905P,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209938,Yes
2-8 Wellington Parade EAST MELBOURNE VIC 3002,-37.8168114,144.98968,TP-2014-184,Erection of two internally illuminated business identification signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209887,Yes
105 Elgin Street CARLTON VIC 3053,-37.797779,144.971197,TP-2014-1159/A,Amend the preamble to remove the exhaust flue,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229762,Yes
36 MacArthur Place North CARLTON VIC 3053,-37.798015,144.971719,TP-2015-190,Minor extension to an existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229626,Yes
15-17 Racecourse Road NORTH MELBOURNE VIC 3051,-37.78978,144.94132,TP-2015-191,"Demolition of existing structure and erection of mixed use building, variation from the requirements of Clause 52.06 and alterations to an access to a Road Zone Category 1.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229634,No
234-250 Collins Street MELBOURNE VIC 3000,-37.815481,144.965482,TP-2015-193,Construction and display of business identification signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229671,Yes
46 Smith Street KENSINGTON VIC 3031,-37.791827,144.933713,TP-2015-192,Buildings and works for a deck at the front of the dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229674,Yes
235-251 Bourke Street MELBOURNE VIC 3000,-37.813759,144.966599,TP-2015-194,Construction of a temporary barrier along Bourke Street entrance,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229682,No
15-19 Gracie Street NORTH MELBOURNE VIC 3051,-37.7972476,144.9385189,TP-2015-183,Create separate titles for the two parts in Lot 1 on PS319666Q,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229533,No
82 Wellington Parade EAST MELBOURNE VIC 3002,-37.816379,144.9873088,TP-2015-184,To use the land for the purpose of the sale and consumption of liquor,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229541,No
245 Cardigan Street CARLTON VIC 3053,-37.800967,144.965083,TP-2015-185,"Use of the land as an Education Centre, reduction of the number of car parking spaces required and construction and display of business identification signs",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229551,Yes
209-221 Boundary Street PORT MELBOURNE VIC 3207,-37.825083,144.938579,TP-2015-186,Part demolition of a building and carrying out of works,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=229567,Yes
"Shop 2-5, Ground 121 Exhibition Street MELBOURNE VIC 3000",-37.8126834,144.9707603,TP-2013-16,Construction of alterations and additions to shopfront ATMs and erection of business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190654,No
132-134 Adderley Street WEST MELBOURNE VIC 3003,-37.8099847,144.947462,TP-2013-17,Buildings and works for a single storey extension to the existing retail/wholesale building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190656,Yes
331-335 Lygon Street CARLTON VIC 3053,-37.797442,144.967114,TP-2013-18,Construct a canopy over the footpath attached to the facade of the building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190657,No
396-416 Docklands Drive DOCKLANDS VIC 3008,-37.813335,144.940066,TP-2012-828/A,Buildings and works for the purpose of an eleven-storey commercial building and variation to the loading bay requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190658,No
"Unit 2, Level 6 1-9 Exhibition Street MELBOURNE VIC 3000",-37.815844,144.972039,TP-2013-11,Buildings and works to enclose the existing balcony,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190599,No
171-175 Rosslyn Street WEST MELBOURNE VIC 3003,-37.8095109,144.9486694,TP-2013-12,Development of the site for an office and dwellings with a reduction in the car parking requirement,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190613,Yes
52 Errol Street NORTH MELBOURNE VIC 3051,-37.80392,144.949822,TP-2013-13,Reduction to car and bicycle parking requirement in association with a medical centre,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190615,Yes
351-357 Collins Street MELBOURNE VIC 3000,-37.8173248,144.9628834,TP-2013-9,Construct a retractible awning and business identification signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190550,Yes
Ukrainian Catholic Church 35-37 Canning Street NORTH MELBOURNE VIC 3051,-37.796627,144.943766,TP-2007-1142/A,"Use land for a child care centre and reduce car parking requirement, alterations and additions to building, construct ancillary works and display signs",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190558,No
228-236 Flinders Street MELBOURNE VIC 3000,-37.817192,144.966526,TP-2013-10,Partial demolition of existing shopfront and construction of alterations and additions to shopfront,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=190569,Yes
58-60 Simpson Street EAST MELBOURNE VIC 3002,-37.8150959,144.9884489,TP-2014-365,Partial demolition; alterations and additions to the existing building; and reduction of car parking requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213908,Yes
7-19 Alfred Place MELBOURNE VIC 3000,-37.814013,144.96991,TP-2014-347,Proposed buisiness identification and painting the external facade from black to white,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213324,Yes
356-362 King Street WEST MELBOURNE VIC 3003,-37.808324,144.952351,TP-2014-348,Use of existing building for the purpose of a residential hotel,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213333,Yes
6 Gordon Crescent KENSINGTON VIC 3031,-37.790879,144.927324,TP-2014-349,Installation of solar panels to roof,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213338,Yes
189-203 William Street MELBOURNE VIC 3000,-37.81459,144.957305,TP-2014-346,Construction and display of business identification signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213276,No
319-323 Swanston Street MELBOURNE VIC 3000,-37.8107032,144.9640739,TP-2014-340,Construction and display of internally illuminated business indentification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213218,Yes
377-391 Cardigan Street CARLTON VIC 3053,-37.797253,144.965752,TP-2014-341,Part demolition and external alteration of the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213232,Yes
199-209 Collins Street MELBOURNE VIC 3000,-37.8154305,144.9670577,TP-2014-345,Modification of facade to retail tenancy and display of business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213266,Yes
468-470 Bourke Street MELBOURNE VIC 3000,-37.81485,144.959772,TP-2014-342,Display of a promotion sign behind the the window of front of building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213147,No
4 Riverside Quay SOUTHBANK VIC 3006,-37.820934,144.96338,TP-2014-343,"Erection & Display of an interanlly illuminated, major promotion, business identification sky sign & an illuminated business identification sign.",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213148,Yes
31-49 Queens Bridge Street SOUTHBANK VIC 3006,-37.822936,144.961394,TP-2014-1102,Stage 6 subdivision of PS633144U,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225436,Yes
126-158 Clarendon Street EAST MELBOURNE VIC 3002,-37.8121406,144.9833441,TP-2014-1101,2 Lot Subdivision of PS602497J,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225440,Yes
31-49 Queens Bridge Street SOUTHBANK VIC 3006,-37.822936,144.961394,TP-2014-1103,Stage 7 Subdivision of PS633144U,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225443,Yes
Southbank One 174-184 City Road SOUTHBANK VIC 3006,-37.8234416,144.9699458,TP-2014-1104,Erection and display of internally illuminated business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225452,Yes
12-18 Meyers Place MELBOURNE VIC 3000,-37.812216,144.972451,TP-2014-1106,Retrospective building and works: construction of air conditioning units,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225460,No
385-389 Little Lonsdale Street MELBOURNE VIC 3000,-37.8132756,144.9626387,TP-2014-1107,Partial demolition and buildings and works to facade of existing office building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225462,Yes
70 Dorrit Street CARLTON VIC 3053,-37.799019,144.966626,TP-2014-1108,Removal of existing corrugated iron roof sheets and replacement with new on front section of roof,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225463,No
54 Faraday Street CARLTON VIC 3053,-37.799009,144.97241,TP-2014-1109,Construction of an airconditioning unit of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225464,Yes
70 Dorrit Street CARLTON VIC 3053,-37.799019,144.966626,TP-2014-1105,Removal of paint from rendered front wall,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225465,Yes
566 Victoria Parade EAST MELBOURNE VIC 3002,-37.810229,144.990188,TP-2014-1110,Construction of a garage to the rear of the property,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=225467,No
536-548 Little Lonsdale Street MELBOURNE VIC 3000,-37.8137682,144.9532225,TPS-2014-16,Approval for painting works,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=211113,No
113-117 Hotham Street EAST MELBOURNE VIC 3002,-37.814297,144.9864455,TP-2014-240,Construct a fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=211106,Yes
Level 11 & Part Level 19 90 Collins Street MELBOURNE VIC 3000,-37.8141393,144.9703132,TPS-2014-17,Installation of an air louvre on Level 9 at the rear section of the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=211109,No
284-294 La Trobe Street MELBOURNE VIC 3000,-37.8103689,144.9609433,TP-2014-242,Use of the site as a supermarket and the installation of business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=211119,Yes
189-203 William Street MELBOURNE VIC 3000,-37.81459,144.957305,TP-2014-234,807 lot subdivision of PS648185V,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210921,Yes
118-122 Powlett Street EAST MELBOURNE VIC 3002,-37.815899,144.986077,TP-2014-235,Partial demolition of the existing dwelling and buildings and works comprising a two storey extension to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210929,Yes
"Suite 106, Level 1 517 Flinders Lane MELBOURNE VIC 3000",-37.819482,144.956886,TP-2014-236,2 lot subdivision of SP034396C,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210935,Yes
3-5 Harker Street NORTH MELBOURNE VIC 3051,-37.7978912,144.9491723,TP-2014-237,Partial demolition to rear of existing dwelling and construction of alterations and additions to rear of dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210938,Yes
146 Park Drive PARKVILLE VIC 3052,-37.79301,144.95743,TP-2010-948/A,Amendment to the southern boundary wall height,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210939,Yes
8 Ormond Street KENSINGTON VIC 3031,-37.796503,144.930257,TP-2014-238,Painting of the dwelling facades,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210965,Yes
186 Drummond Street CARLTON VIC 3053,-37.802108,144.968691,TP-2013-904,Partial demolition of existing brick fence to rear and construction of alterations and additions to brick fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203752,No
24-46 A'Beckett Street MELBOURNE VIC 3000,-37.8085994,144.9620934,TP-2013-905,Buildings and works associated with the use of the land for informal outdoor recreation and associated advertising signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203753,No
699-709 Queensberry Street NORTH MELBOURNE VIC 3051,-37.8024457,144.943474,TP-2013-906,Demolition of the existing wall and construction of a new wall,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203757,Yes
QV Village 278-300 Swanston Street MELBOURNE VIC 3000,-37.810506,144.96586,TP-2013-894,Buildings and works to the existing building to infill a gap in the existing roof structure,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203625,Yes
163-169 Russell Street MELBOURNE VIC 3000,-37.812442,144.967607,TP-2013-895,"Buildings and works, including installation of securitylighting, installation of internally illuminated sign board, alterations and additions to the building entrance including illuminated lettering signage, and installation of an automatic awning",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203631,Yes
Elm Towers Apartments 306-320 Little Lonsdale Street MELBOURNE VIC 3000,-37.8117364,144.9602585,TP-2013-896,Construction of shopfront alterations,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203647,Yes
69-71 Errol Street NORTH MELBOURNE VIC 3051,-37.803471,144.94923,TP-2013-897,Extend trading hours of existing licensed restaurant to 1am on Friday and Saturday nights,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203661,No
253 Errol Street NORTH MELBOURNE VIC 3051,-37.79818,144.950145,TP-2013-898,Demolition of the existing fence and construction of a new side fence and gate,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203662,Yes
Langham Hotel 1 Southgate Avenue SOUTHBANK VIC 3006,-37.8207101,144.9653138,TP-2013-892,"Erect and and display business identification signs, including illuminated signs",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203570,Yes
Flinders House 238-244 Flinders Lane MELBOURNE VIC 3000,-37.8185287,144.9590104,TP-2013-891,Buildings and works to erect a Juliet balcony and air conditioning unit to the exterior of the existing apartment unit,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=203575,Yes
483-485 King Street WEST MELBOURNE VIC 3003,-37.8085246,144.9518004,TP-2010-932/B,"Deletion of basement level (part parking level) and changing concrete roof to metal deck roofing, and reduction of carparking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=206793,Yes
232 Bellair Street KENSINGTON VIC 3031,-37.795403,144.930412,TP-2014-18,Removal and replacement of painted zinc roofing and gutters with colourbond,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=206804,Yes
187-189 Stanley Street WEST MELBOURNE VIC 3003,-37.810193,144.9459621,TP-2011-719/C,To deleted Condition 4 on permit TP-2011-719/B and modify the proposed facade of the building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=206809,No
